tip-off,home_team,away_team,sportsbook,team,spread,odds,matchup,spread_score,spread_probability,win_score
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,Bovada,Memphis Grizzlies,13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,Bovada,Oklahoma City Thunder,-13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5238095238095238,7.011904761904762
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetMGM,Memphis Grizzlies,13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetMGM,Oklahoma City Thunder,-13.5,-110,Memphis Grizzlies @ Oklahoma City Thunder,13.5,0.5238095238095238,7.011904761904762
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetUS,Memphis Grizzlies,13.0,-110,Memphis Grizzlies @ Oklahoma City Thunder,-13.0,0.5238095238095238,-6.238095238095238
2025-04-20 17:10:00+00:00,Oklahoma City Thunder,Memphis Grizzlies,BetUS,Oklahoma City Thunder,-13.0,-110,Memphis Grizzlies @ Oklahoma City Thunder,13.0,0.5238095238095238,6.761904761904762
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,FanDuel,Boston Celtics,-13.5,-112,Orlando Magic @ Boston Celtics,13.5,0.5283018867924528,7.014150943396227
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,FanDuel,Orlando Magic,13.5,-108,Orlando Magic @ Boston Celtics,-13.5,0.5192307692307693,-6.490384615384615
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,DraftKings,Boston Celtics,-14.0,-110,Orlando Magic @ Boston Celtics,14.0,0.5238095238095238,7.261904761904762
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,DraftKings,Orlando Magic,14.0,-110,Orlando Magic @ Boston Celtics,-14.0,0.5238095238095238,-6.738095238095238
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetRivers,Boston Celtics,-13.5,-110,Orlando Magic @ Boston Celtics,13.5,0.5238095238095238,7.011904761904762
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetRivers,Orlando Magic,13.5,-110,Orlando Magic @ Boston Celtics,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetOnline.ag,Boston Celtics,-13.5,-105,Orlando Magic @ Boston Celtics,13.5,0.5121951219512195,7.0060975609756095
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetOnline.ag,Orlando Magic,13.5,-115,Orlando Magic @ Boston Celtics,-13.5,0.5348837209302325,-6.482558139534884
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,LowVig.ag,Boston Celtics,-13.5,-101,Orlando Magic @ Boston Celtics,13.5,0.5024875621890548,7.001243781094527
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,LowVig.ag,Orlando Magic,13.5,-111,Orlando Magic @ Boston Celtics,-13.5,0.5260663507109005,-6.48696682464455
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,Bovada,Boston Celtics,-13.5,-110,Orlando Magic @ Boston Celtics,13.5,0.5238095238095238,7.011904761904762
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,Bovada,Orlando Magic,13.5,-110,Orlando Magic @ Boston Celtics,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,MyBookie.ag,Boston Celtics,-13.5,-110,Orlando Magic @ Boston Celtics,13.5,0.5238095238095238,7.011904761904762
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,MyBookie.ag,Orlando Magic,13.5,-110,Orlando Magic @ Boston Celtics,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetMGM,Boston Celtics,-13.5,-110,Orlando Magic @ Boston Celtics,13.5,0.5238095238095238,7.011904761904762
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetMGM,Orlando Magic,13.5,-110,Orlando Magic @ Boston Celtics,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetUS,Boston Celtics,-13.5,-110,Orlando Magic @ Boston Celtics,13.5,0.5238095238095238,7.011904761904762
2025-04-20 19:30:00+00:00,Boston Celtics,Orlando Magic,BetUS,Orlando Magic,13.5,-110,Orlando Magic @ Boston Celtics,-13.5,0.5238095238095238,-6.488095238095238
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,DraftKings,Cleveland Cavaliers,-12.5,-112,Miami Heat @ Cleveland Cavaliers,12.5,0.5283018867924528,6.514150943396227
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,DraftKings,Miami Heat,12.5,-108,Miami Heat @ Cleveland Cavaliers,-12.5,0.5192307692307693,-5.990384615384615
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,FanDuel,Cleveland Cavaliers,-12.5,-108,Miami Heat @ Cleveland Cavaliers,12.5,0.5192307692307693,6.509615384615385
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,FanDuel,Miami Heat,12.5,-112,Miami Heat @ Cleveland Cavaliers,-12.5,0.5283018867924528,-5.985849056603773
2025-04-20 23:10:00+00:00,Cleveland Cavaliers,Miami Heat,LowVig.ag,Cleveland Cavaliers,-12.5,-106,Miami Heat @ Cleveland Cavaliers,12.5,0.5145631067961165,6.507281553398058
